Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
2.57E+1	******	******	******	******	5	1.23E-2	-4.34E-5	3.03E-3
2.58E+1	******	******	******	******	5	-2.48E-3	8.25E-5	-6.1E-4
2.59E+1	******	******	******	******	5	1.06E-1	-7.18E-5	2.61E-2
2.6E+1	******	******	******	******	5	-6.26E-3	5.96E-5	-1.54E-3
2.61E+1	******	******	******	******	5	-1.07E-2	1.5E-4	-2.64E-3
2.62E+1	******	******	******	******	5	2.08E-2	1.1E-4	5.11E-3
2.63E+1	******	******	******	******	5	-6.01E-2	1.57E-4	-1.48E-2
2.64E+1	******	******	******	******	5	-1.07E-1	1.78E-4	-2.63E-2
2.65E+1	******	******	******	******	5	-2.34E-2	4.71E-5	-5.75E-3
2.66E+1	******	******	******	******	5	-5.2E-3	-3.75E-5	-1.28E-3
2.67E+1	******	******	******	******	5	-1.17E-1	1.23E-4	-2.87E-2
2.68E+1	******	******	******	******	5	-7.56E-3	-2E-5	-1.86E-3
2.69E+1	******	******	******	******	5	1.52E-2	-1.05E-4	3.73E-3
2.7E+1	******	******	******	******	5	-1.48E-2	-9.55E-5	-3.65E-3
2.71E+1	******	******	******	******	5	1.82E-2	-6.85E-5	4.48E-3
2.72E+1	******	******	******	******	5	8.33E-2	-1.49E-4	2.05E-2
2.73E+1	******	******	******	******	5	2.22E-2	-5.48E-5	5.45E-3
2.74E+1	******	******	******	******	5	-2.42E-2	5.7E-5	-5.94E-3
2.75E+1	******	******	******	******	5	1.02E-1	-8.68E-5	2.5E-2
2.76E+1	******	******	******	******	5	4.03E-2	3.76E-6	9.91E-3
2.77E+1	******	******	******	******	5	-2.19E-2	9.84E-5	-5.38E-3
2.78E+1	******	******	******	******	5	-3.29E-2	1.78E-4	-8.09E-3
2.79E+1	******	******	******	******	5	4.29E-2	3.58E-5	1.05E-2
2.8E+1	******	******	******	******	5	-6.06E-2	7.4E-5	-1.49E-2
2.81E+1	******	******	******	******	5	-5.65E-2	1.76E-4	-1.39E-2
2.82E+1	******	******	******	******	5	1.77E-2	4.51E-5	4.36E-3
2.83E+1	******	******	******	******	5	-4.35E-2	4.16E-5	-1.07E-2
2.84E+1	******	******	******	******	5	-4.96E-2	6.22E-5	-1.22E-2
2.85E+1	******	******	******	******	5	-5.05E-4	-2.16E-5	-1.24E-4
2.86E+1	******	******	******	******	5	3.78E-2	-5.7E-5	9.29E-3
2.87E+1	******	******	******	******	5	-6.7E-3	-4.59E-5	-1.65E-3
2.88E+1	******	******	******	******	5	2.84E-2	-8.58E-5	6.97E-3
2.89E+1	******	******	******	******	5	6.91E-2	9.9E-6	1.7E-2
2.9E+1	******	******	******	******	5	3.97E-2	-4.61E-5	9.75E-3
2.91E+1	******	******	******	******	5	4.19E-2	7.23E-6	1.03E-2
2.92E+1	******	******	******	******	5	8.2E-2	1.79E-5	2.02E-2
2.93E+1	******	******	******	******	5	3.28E-2	6.87E-5	8.07E-3
2.94E+1	******	******	******	******	5	-2.01E-2	1.13E-4	-4.95E-3
2.95E+1	******	******	******	******	5	2.47E-2	8.36E-5	6.06E-3
2.96E+1	******	******	******	******	5	3.49E-2	9.4E-5	8.57E-3
2.97E+1	******	******	******	******	5	-4.88E-2	1.25E-4	-1.2E-2
2.98E+1	******	******	******	******	5	-4.12E-2	1.42E-4	-1.01E-2
2.99E+1	******	******	******	******	5	4.59E-2	2.99E-5	1.13E-2
3E+1	******	******	******	******	5	-1.41E-2	7.21E-5	-3.47E-3
3.01E+1	******	******	******	******	5	1.11E-2	-1.46E-5	2.74E-3
3.02E+1	******	******	******	******	5	3.23E-2	7.37E-6	7.95E-3
3.03E+1	******	******	******	******	5	5.62E-2	-1.36E-5	1.38E-2
3.04E+1	******	******	******	******	5	-2.67E-3	-2.66E-5	-6.56E-4
3.05E+1	******	******	******	******	5	7.95E-2	-6.41E-5	1.95E-2
3.06E+1	******	******	******	******	5	8.12E-2	-4.33E-5	2E-2
3.07E+1	******	******	******	******	5	4.53E-2	3.82E-5	1.11E-2
3.08E+1	******	******	******	******	5	5.15E-2	-4.25E-5	1.27E-2
3.09E+1	******	******	******	******	5	5.77E-2	8.5E-5	1.42E-2
3.1E+1	******	******	******	******	5	6.67E-2	-5.87E-7	1.64E-2
3.11E+1	******	******	******	******	5	-4.67E-2	1.91E-4	-1.15E-2
3.12E+1	******	******	******	******	5	6.92E-2	-2.7E-5	1.7E-2
3.13E+1	******	******	******	******	5	1.19E-2	1.47E-4	2.91E-3
3.14E+1	******	******	******	******	5	-5.73E-2	1.14E-4	-1.41E-2
3.15E+1	******	******	******	******	5	-4.84E-2	1.61E-4	-1.19E-2
3.16E+1	******	******	******	******	5	3.33E-2	3.39E-5	8.18E-3
3.17E+1	******	******	******	******	5	-7.13E-2	3.38E-5	-1.75E-2
3.18E+1	******	******	******	******	5	-7.02E-2	1.12E-4	-1.73E-2
3.19E+1	******	******	******	******	5	3.22E-2	-1.05E-4	7.9E-3
